time,lat,lon,depth,chla_acs
43583.55625,26.055704,-158.000546,6,0.079121
43583.55556,26.059181,-158.00068,6,0.076232
43583.55486,26.062642,-158.000738,6,0.076031
43583.55417,26.066107,-158.000758,6,0.079495
43583.55347,26.069544,-158.000829,6,0.078845
43583.55278,26.072971,-158.000847,6,0.078972
43583.55208,26.076396,-158.000886,6,0.077961
43583.55139,26.079817,-158.000955,6,0.078259
43583.55069,26.083226,-158.000933,6,0.077084
43583.55,26.086637,-158.000924,6,0.072777
43583.54097,26.13106,-158.00108,6,0.081194
43583.54028,26.134425,-158.001019,6,0.081281
43583.53958,26.137799,-158.001061,6,0.082475
43583.53889,26.141183,-158.001061,6,0.081957
43583.53819,26.144578,-158.001026,6,0.080251
43583.5375,26.147946,-158.001035,6,0.079469
43583.53681,26.151329,-158.001061,6,0.081985
43583.53611,26.154687,-158.001059,6,0.081818
43583.53542,26.158074,-158.001049,6,0.077842
43583.53472,26.161454,-158.001073,6,0.077623
43583.53403,26.164834,-158.001004,6,0.078046
43583.53333,26.168172,-158.001047,6,0.076388
43583.53264,26.171545,-158.00113,6,0.075124
43583.53194,26.174884,-158.001124,6,0.075004
43583.53125,26.178221,-158.001094,6,0.075729
43583.53056,26.181576,-158.00121,6,0.080008
43583.52986,26.184943,-158.001191,6,0.076654
43583.52917,26.188289,-158.00105,6,0.077435
43583.52847,26.191642,-158.001018,6,0.077048
43583.52778,26.195012,-158.000933,6,0.072187
43583.52708,26.198388,-158.000896,6,0.072277
43583.52639,26.201763,-158.000894,6,0.071328
43583.52569,26.205122,-158.000884,6,0.072004
43583.525,26.20851,-158.001026,6,0.074509
43583.52431,26.211869,-158.001066,6,0.07539
43583.52361,26.215225,-158.000921,6,0.075685
43583.52292,26.218591,-158.000754,6,0.075711
43583.52222,26.221977,-158.000587,6,0.076099
43583.52153,26.225394,-158.000567,6,0.078429
43583.52083,26.228787,-158.000464,6,0.079459
43583.52014,26.232209,-158.000324,6,0.07916
43583.51944,26.235629,-158.000301,6,0.075234
43583.51875,26.239044,-158.000208,6,0.078436
43583.51806,26.24248,-158.000207,6,0.077995
43583.51736,26.245897,-158.000192,6,0.08084
43583.51667,26.249314,-158.000034,6,0.079675
43583.51597,26.252734,-157.999901,6,0.080284
43583.51528,26.256123,-157.99984,6,0.083347
43583.51458,26.259542,-157.999924,6,0.081163
43583.51389,26.262953,-157.999865,6,0.082016
43583.51319,26.266357,-157.999821,6,0.08167
43583.5125,26.26975,-157.999785,6,0.081789
43583.51181,26.273173,-157.999773,6,0.0812
43583.51111,26.276588,-157.999789,6,0.081084
43583.51042,26.280044,-157.999767,6,0.085478
43583.50972,26.283442,-157.999787,6,0.089573
43583.50903,26.286844,-157.999736,6,0.089823
43583.50833,26.29025,-157.999624,6,0.089611
43583.50764,26.293649,-157.999639,6,0.08958
43583.50694,26.297047,-157.999635,6,0.096659
43583.49931,26.33412,-157.999757,6,0.092215
43583.49861,26.337458,-157.999859,6,0.093737
43583.49792,26.340807,-157.99995,6,0.092964
43583.49722,26.344153,-158.000012,6,0.09162
43583.49653,26.347521,-158.000063,6,0.088078
43583.49583,26.35086,-158.000065,6,0.083817
43583.49514,26.35423,-158.000167,6,0.087968
43583.49444,26.357593,-158.000303,6,0.086817
43583.49375,26.360928,-158.000395,6,0.08528
43583.49306,26.364276,-158.00048,6,0.085618
43583.49236,26.367627,-158.000455,6,0.083646
43583.49167,26.370977,-158.000506,6,0.088233
43583.49097,26.374317,-158.000554,6,0.086237
43583.49028,26.377672,-158.000636,6,0.086401
43583.48958,26.381016,-158.000656,6,0.085995
43583.48889,26.384363,-158.00071,6,0.088785
43583.48819,26.387712,-158.000731,6,0.089493
43583.4875,26.391062,-158.000831,6,0.087143
43583.48681,26.394413,-158.000748,6,0.088535
